,halodule,zostera,ruppia,algae,oyster,saltmarsh,richness,evenness,seagrass,richness_comb,depth_m_avg,sal_avg,comm_shannonD_sum,herbivore,omnivore,planktivore,num_bai_chr,num_ort_chr,num_ops_tau,seagrass_area,seagrass_perim.area.ratio,saltmarsh_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,avg_temp,avg_spl_low,avg_spl_high,ToadCallRate,ToadCallRateNorm
halodule,1,0.46194773,0.297253753,0.219740598,-0.39009633,-0.452482644,0.581981914,-0.039226889,0.966031733,-0.107239982,-0.282658116,0.067602565,0.484838472,0.080058475,0.094235045,0.325540089,0.659253532,0.733508727,0.080058475,0.579071345,-0.220471052,-0.292499625,-0.285238902,-0.18540435,0.033308996,0.321878499,-0.492794399,0.152909778,0.127933996,0.006536397
zostera,0.46194773,1,0.296929214,0.378304058,-0.270069895,-0.315386605,0.411431084,0.143468726,0.627992755,-0.110691099,0.005251888,-0.08292058,0.402138693,0.266688919,-0.01044477,-0.11102714,0.447172849,0.56064571,0.266688919,0.535394412,0.011409443,-0.332493448,-0.109956281,-0.043085936,0.043240526,0.214669743,-0.141655464,0.267626236,0.030905366,0.001692214
ruppia,0.297253753,0.296929214,1,0.070175498,-0.14389834,-0.167327395,0.386694094,0.310343429,0.471683538,-0.094044939,0.025321714,0.189937349,0.28329766,-0.066441963,-0.100841094,-0.024480209,0.468178134,0.714631352,-0.066441963,0.612715422,-0.066491497,-0.242990383,0.10767944,0.130465125,-0.025793925,0.100688501,-0.307911591,0.103024735,-0.038435429,-0.129289747
algae,0.219740598,0.378304058,0.070175498,1,0.079984855,-0.174531442,0.329479179,-0.045934026,0.267610871,0.243889397,0.050721846,-0.178165435,0.160552702,-0.015188163,-0.033362194,-0.14536527,-0.010733571,0.031195159,-0.015188163,0.034482073,0.017619512,-0.137502344,0.106221978,-0.186890075,-0.238133883,0.077010443,-0.072442463,0.357555771,0.426596672,0.44223845
oyster,-0.39009633,-0.270069895,-0.14389834,0.079984855,1,0.199435495,0.061999329,0.275861442,-0.399237811,0.506479723,0.489236429,-0.169164383,-0.173831352,-0.094164129,0.187416484,-0.160706296,-0.219213896,-0.293074149,-0.094164129,-0.08426574,0.196063745,0.089847182,0.698954596,0.036913825,-0.144276493,-0.047820412,0.439315417,0.44832179,0.50000717,0.608035862
saltmarsh,-0.452482644,-0.315386605,-0.167327395,-0.174531442,0.199435495,1,0.070807511,0.24016277,-0.463574628,0.588943085,0.052052637,-0.235550769,-0.072553536,-0.109495622,-0.123046278,-0.17820348,-0.254601372,-0.341798802,-0.109495622,-0.324619799,-0.065572677,0.256657347,0.275293768,0.135470793,-0.142362423,0.079134797,-0.029843706,0.071254564,-0.081872524,-0.059665754
richness,0.581981914,0.411431084,0.386694094,0.329479179,0.061999329,0.070807511,1,0.504898169,0.626182937,0.612870097,0.11532412,-0.026294705,0.603621445,0.028116078,0.247650153,0.2440831,0.513941398,0.594499838,0.028116078,0.501787094,-0.16897729,-0.001187191,0.269231878,0.177390559,-0.31923662,0.408630681,-0.58543111,0.384450805,0.276781214,0.180329761
evenness,-0.039226889,0.143468726,0.310343429,-0.045934026,0.275861442,0.24016277,0.504898169,1,0.048006036,0.611478416,0.288323259,-0.103737718,0.021478316,0.228432442,-0.186930885,-0.269323069,0.025827798,0.191472908,0.228432442,0.04811545,-0.075670649,0.229563594,0.389925044,0.563582973,-0.171473057,0.032970995,-0.071743947,0.291330137,0.129004375,0.083736194
seagrass,0.966031733,0.627992755,0.471683538,0.267610871,-0.399237811,-0.463574628,0.626182937,0.048006036,1,-0.12608155,-0.227942362,0.071343876,0.526833912,0.107429349,0.058764764,0.242632788,0.710665088,0.835671317,0.107429349,0.68615276,-0.190835177,-0.347643517,-0.238933708,-0.139560054,0.031669534,0.324781444,-0.486225925,0.196183572,0.105194788,-0.015984538
richness_comb,-0.107239982,-0.110691099,-0.094044939,0.243889397,0.506479723,0.588943085,0.612870097,0.611478416,-0.12608155,1,0.239203369,-0.181871977,0.202355996,-0.061541083,0.086872232,-0.127155108,-0.107448574,-0.142243946,-0.061541083,-0.152880692,-0.043048709,0.300137826,0.590871482,0.281566015,-0.369753763,0.207385826,-0.252455194,0.292654509,0.329317873,0.346982942
depth_m_avg,-0.282658116,0.005251888,0.025321714,0.050721846,0.489236429,0.052052637,0.11532412,0.288323259,-0.227942362,0.239203369,1,-0.223900756,0.013687655,0.094370161,0.014806622,-0.109674566,-0.224261305,-0.060146422,0.094370161,-0.044323413,-0.204747172,0.127752826,0.365560476,0.312678295,-0.096488232,0.11239101,0.287726301,0.430274253,0.24563984,0.440211086
sal_avg,0.067602565,-0.08292058,0.189937349,-0.178165435,-0.169164383,-0.235550769,-0.026294705,-0.103737718,0.071343876,-0.181871977,-0.223900756,1,-0.165051523,-0.016264687,-0.050142897,0.208100464,0.234790029,0.282258326,-0.016264687,0.271777536,0.229668951,0.001911241,0.05404608,0.007725181,-0.025690037,-0.048731789,-0.136125463,-0.442138189,0.144178231,0.001942718
comm_shannonD_sum,0.484838472,0.402138693,0.28329766,0.160552702,-0.173831352,-0.072553536,0.603621445,0.021478316,0.526833912,0.202355996,0.013687655,-0.165051523,1,-0.013099891,0.298068233,0.203977169,0.369969002,0.46285008,-0.013099891,0.412526177,-0.082552702,-0.19664575,0.104217529,-0.009728133,-0.192310706,0.41318747,-0.56335046,0.134024943,-0.111021838,-0.046840178
herbivore,0.080058475,0.266688919,-0.066441963,-0.015188163,-0.094164129,-0.109495622,0.028116078,0.228432442,0.107429349,-0.061541083,0.094370161,-0.016264687,-0.013099891,1,-0.085168498,-0.06254484,-0.103485626,0.156288452,1,-0.054777376,0.030795044,-0.235773997,-0.182764389,0.076951935,-0.060553235,-0.015889919,0.151675733,0.051221964,0.150531642,0.20803527
omnivore,0.094235045,-0.01044477,-0.100841094,-0.033362194,0.187416484,-0.123046278,0.247650153,-0.186930885,0.058764764,0.086872232,0.014806622,-0.050142897,0.298068233,-0.085168498,1,0.657729953,0.35368206,0.152492482,-0.085168498,0.169171044,0.066680911,0.015324204,0.116928198,-0.233934459,-0.1371433,0.355680484,-0.182865483,0.175936606,-0.199898581,-0.201839436
planktivore,0.325540089,-0.11102714,-0.024480209,-0.14536527,-0.160706296,-0.17820348,0.2440831,-0.269323069,0.242632788,-0.127155108,-0.109674566,0.208100464,0.203977169,-0.06254484,0.657729953,1,0.611995282,0.353931685,-0.06254484,0.213138415,-0.121704243,0.092852258,-0.152608641,-0.239352618,0.011065404,0.299266157,-0.294571739,-0.030574966,0.013179253,-0.110094739
num_bai_chr,0.659253532,0.447172849,0.468178134,-0.010733571,-0.219213896,-0.254601372,0.513941398,0.025827798,0.710665088,-0.107448574,-0.224261305,0.234790029,0.369969002,-0.103485626,0.35368206,0.611995282,1,0.835697304,-0.103485626,0.719989184,-0.120960396,-0.176119256,-0.036463226,-0.166926229,0.14112398,0.337319913,-0.378198921,0.087955003,0.064894191,-0.115399393
num_ort_chr,0.733508727,0.56064571,0.714631352,0.031195159,-0.293074149,-0.341798802,0.594499838,0.191472908,0.835671317,-0.142243946,-0.060146422,0.282258326,0.46285008,0.156288452,0.152492482,0.353931685,0.835697304,1,0.156288452,0.808531432,-0.09450598,-0.33346311,-0.071563639,-0.005291688,0.045226623,0.385420332,-0.408080852,0.202780218,0.038967849,-0.075487449
num_ops_tau,0.080058475,0.266688919,-0.066441963,-0.015188163,-0.094164129,-0.109495622,0.028116078,0.228432442,0.107429349,-0.061541083,0.094370161,-0.016264687,-0.013099891,1,-0.085168498,-0.06254484,-0.103485626,0.156288452,1,-0.054777376,0.030795044,-0.235773997,-0.182764389,0.076951935,-0.060553235,-0.015889919,0.151675733,0.051221964,0.150531642,0.20803527
seagrass_area,0.579071345,0.535394412,0.612715422,0.034482073,-0.08426574,-0.324619799,0.501787094,0.04811545,0.68615276,-0.152880692,-0.044323413,0.271777536,0.412526177,-0.054777376,0.169171044,0.213138415,0.719989184,0.808531432,-0.054777376,1,-0.076044288,-0.301196436,0.13649735,0.042514271,-0.020884014,0.365197895,-0.309053163,0.193591422,0.149451659,0.013926384
seagrass_perim.area.ratio,-0.220471052,0.011409443,-0.066491497,0.017619512,0.196063745,-0.065572677,-0.16897729,-0.075670649,-0.190835177,-0.043048709,-0.204747172,0.229668951,-0.082552702,0.030795044,0.066680911,-0.121704243,-0.120960396,-0.09450598,0.030795044,-0.076044288,1,-0.080068044,0.203011606,-0.149182755,-0.353689691,-0.100191584,0.31900107,0.077596832,-0.062760138,0.069246438
saltmarsh_perim.area.ratio,-0.292499625,-0.332493448,-0.242990383,-0.137502344,0.089847182,0.256657347,-0.001187191,0.229563594,-0.347643517,0.300137826,0.127752826,0.001911241,-0.19664575,-0.235773997,0.015324204,0.092852258,-0.176119256,-0.33346311,-0.235773997,-0.301196436,-0.080068044,1,-0.113454166,0.662191076,-0.41622079,-0.085144248,-0.182556989,-0.216752196,-0.097935244,-0.100025895
habitat_total,-0.285238902,-0.109956281,0.10767944,0.106221978,0.698954596,0.275293768,0.269231878,0.389925044,-0.238933708,0.590871482,0.365560476,0.05404608,0.104217529,-0.182764389,0.116928198,-0.152608641,-0.036463226,-0.071563639,-0.182764389,0.13649735,0.203011606,-0.113454166,1,-0.027625337,-0.195370958,0.228299103,0.178824884,0.362050341,0.384929584,0.425433778
NNratio,-0.18540435,-0.043085936,0.130465125,-0.186890075,0.036913825,0.135470793,0.177390559,0.563582973,-0.139560054,0.281566015,0.312678295,0.007725181,-0.009728133,0.076951935,-0.233934459,-0.239352618,-0.166926229,-0.005291688,0.076951935,0.042514271,-0.149182755,0.662191076,-0.027625337,1,-0.38215483,-0.067552861,-0.197655133,-0.098577171,-0.03623537,-0.023347236
dist2adjPatch,0.033308996,0.043240526,-0.025793925,-0.238133883,-0.144276493,-0.142362423,-0.31923662,-0.171473057,0.031669534,-0.369753763,-0.096488232,-0.025690037,-0.192310706,-0.060553235,-0.1371433,0.011065404,0.14112398,0.045226623,-0.060553235,-0.020884014,-0.353689691,-0.41622079,-0.195370958,-0.38215483,1,-0.15429966,0.137105573,-0.234788036,-0.129783676,-0.132532516
avg_temp,0.321878499,0.214669743,0.100688501,0.077010443,-0.047820412,0.079134797,0.408630681,0.032970995,0.324781444,0.207385826,0.11239101,-0.048731789,0.41318747,-0.015889919,0.355680484,0.299266157,0.337319913,0.385420332,-0.015889919,0.365197895,-0.100191584,-0.085144248,0.228299103,-0.067552861,-0.15429966,1,-0.487456848,0.428230529,-0.113802556,-0.068185736
avg_spl_low,-0.492794399,-0.141655464,-0.307911591,-0.072442463,0.439315417,-0.029843706,-0.58543111,-0.071743947,-0.486225925,-0.252455194,0.287726301,-0.136125463,-0.56335046,0.151675733,-0.182865483,-0.294571739,-0.378198921,-0.408080852,0.151675733,-0.309053163,0.31900107,-0.182556989,0.178824884,-0.197655133,0.137105573,-0.487456848,1,0.250414997,0.189247516,0.278400323
avg_spl_high,0.152909778,0.267626236,0.103024735,0.357555771,0.44832179,0.071254564,0.384450805,0.291330137,0.196183572,0.292654509,0.430274253,-0.442138189,0.134024943,0.051221964,0.175936606,-0.030574966,0.087955003,0.202780218,0.051221964,0.193591422,0.077596832,-0.216752196,0.362050341,-0.098577171,-0.234788036,0.428230529,0.250414997,1,0.220393559,0.285563149
ToadCallRate,0.127933996,0.030905366,-0.038435429,0.426596672,0.50000717,-0.081872524,0.276781214,0.129004375,0.105194788,0.329317873,0.24563984,0.144178231,-0.111021838,0.150531642,-0.199898581,0.013179253,0.064894191,0.038967849,0.150531642,0.149451659,-0.062760138,-0.097935244,0.384929584,-0.03623537,-0.129783676,-0.113802556,0.189247516,0.220393559,1,0.91410815
ToadCallRateNorm,0.006536397,0.001692214,-0.129289747,0.44223845,0.608035862,-0.059665754,0.180329761,0.083736194,-0.015984538,0.346982942,0.440211086,0.001942718,-0.046840178,0.20803527,-0.201839436,-0.110094739,-0.115399393,-0.075487449,0.20803527,0.013926384,0.069246438,-0.100025895,0.425433778,-0.023347236,-0.132532516,-0.068185736,0.278400323,0.285563149,0.91410815,1
