,bare,halodule,zostera,ruppia,algae,oyster,saltmarsh,other,richness,shannonD,evenness,seagrass_comb,richness_comb,shannonD_comb,evenness_comb,totalcover,avg_shoot_density,avg_blade_length,max_10,max_25perc,seagrass_area,seagrass_perim.area.ratio,seagrass_shape.index,saltmarsh_area,saltmarsh_perim.area.ratio,saltmarsh_shape.index,oyster_area,oyster_perim.area.ratio,nn_Land,dist2adj,richness_land
bare,1,-0.724937582,-0.465315144,-0.40076148,-0.337362685,-0.194910892,0.022703016,0.185188298,-0.752081857,-0.466927765,-0.343281135,-0.757115137,-0.457836524,-0.6122831,-0.343281135,-1,-0.53923143,-0.155155857,0.242709148,0.226173419,-0.617866057,0.134706157,-0.554642205,0.015727607,0.255223137,0.208553621,-0.182205612,0.390175417,0.095881947,0.116967793,0.156279379
halodule,-0.724937582,1,0.46194773,0.297253753,0.219740599,-0.39009633,-0.452482644,-0.153738578,0.531247037,0.128200203,0.002329243,0.966031733,0.049921955,0.57321612,0.002329243,0.724937582,0.68444865,0.222911768,-0.340642888,-0.358113926,0.579071345,-0.220471052,0.27721045,-0.46663597,-0.292499626,-0.560536476,-0.403002433,-0.476678267,-0.18540435,0.033308996,-0.309597371
zostera,-0.465315144,0.46194773,1,0.296929214,0.378304059,-0.270069896,-0.315386605,-0.127328688,0.330816626,0.42440041,0.348677006,0.627992755,-0.042589893,0.746273071,0.348677006,0.465315144,-0.273379045,0.026640575,0.04385672,0.074382534,0.535394412,0.011409443,0.449282828,-0.280311611,-0.332493447,-0.358603449,-0.2666588,-0.165090389,-0.043085936,0.043240526,-0.208392056
ruppia,-0.40076148,0.297253753,0.296929214,1,0.070175498,-0.14389834,-0.167327395,-0.070919408,0.328351948,0.515288393,0.340286442,0.471683538,-0.012143911,0.695205552,0.340286442,0.40076148,0.037895247,-0.01010682,0.221815037,0.245340449,0.612715422,-0.066491497,0.322314403,-0.085228453,-0.242990383,-0.235336391,-0.169540933,-0.426059727,0.130465125,-0.025793925,-0.088337356
algae,-0.337362685,0.219740599,0.378304059,0.070175498,1,0.079984855,-0.174531442,-0.126383257,0.429157617,0.290818537,0.185110154,0.267610871,0.390891601,0.431175781,0.185110154,0.337362685,0.03891312,-0.015613616,-0.285630934,-0.291846687,0.034482073,0.017619512,0.191932904,0.056708811,-0.137502344,-0.05135517,0.213475193,0.077123116,-0.186890075,-0.238133883,0.002553923
oyster,-0.194910892,-0.39009633,-0.270069896,-0.14389834,0.079984855,1,0.199435495,-0.100509738,0.13320483,0.169203088,0.202705452,-0.399237811,0.45039636,-0.227085252,0.202705452,0.194910892,0.534105421,-0.02382623,-0.626467528,-0.606230357,-0.08426574,0.196063745,0.344301106,0.608868011,0.089847182,0.493771839,0.950224481,0.177072037,0.036913825,-0.144276493,0.193815021
saltmarsh,0.022703016,-0.452482644,-0.315386605,-0.167327395,-0.174531442,0.199435495,1,0.159366938,0.007427195,0.081702015,0.166959366,-0.463574628,0.346419053,-0.331628128,0.166959366,-0.022703016,NA,-0.320211753,0.113559379,0.206106255,-0.324619799,-0.065572677,-0.20801815,0.385440966,0.256657347,0.431267309,0.261896456,0.198124701,0.135470793,-0.142362423,0.228701064
other,0.185188298,-0.153738578,-0.127328688,-0.070919408,-0.126383257,-0.100509738,0.159366938,1,0.084940272,0.040976718,0.041566774,-0.163842443,0.232400059,-0.184708869,0.041566774,-0.185188298,0.411799675,-0.345564459,0.134851563,0.224142945,-0.096287003,0.186720949,0.132407398,0.590409966,-0.136554846,-0.019976768,-0.1429438,0.327710812,-0.131474362,-0.026934584,0.15061384
richness,-0.752081857,0.531247037,0.330816626,0.328351948,0.429157617,0.13320483,0.007427195,0.084940272,1,0.67773362,0.56002343,0.558644792,0.805004243,0.613995431,0.56002343,0.752081857,0.615397178,-0.123167426,-0.01791274,-0.043026119,0.37209655,-0.160360862,0.415086688,0.159342278,-0.043356239,-0.022238041,0.162816658,-0.061670269,0.120827895,-0.365717788,0.044915188
shannonD,-0.466927765,0.128200203,0.42440041,0.515288393,0.290818537,0.169203088,0.081702015,0.040976718,0.67773362,1,0.942815292,0.275904078,0.600344742,0.681415515,0.942815292,0.466927765,0.099393896,-0.061950333,0.051180621,0.097664889,0.278831967,-0.062053173,0.264406447,0.285789869,0.057281799,0.293826562,0.236959211,0.024732156,0.460707342,-0.21274604,0.014434919
evenness,-0.343281135,0.002329243,0.348677006,0.340286442,0.185110154,0.202705452,0.166959366,0.041566774,0.56002343,0.942815292,1,0.127742147,0.574079525,0.486296027,1,0.343281135,-0.011921638,-0.072926335,0.056593891,0.115210516,0.121847152,0.005863613,0.170905502,0.304395482,0.237172858,0.505723568,0.24334291,0.145910292,0.550467829,-0.207551795,0.053947537
seagrass_comb,-0.757115137,0.966031733,0.627992755,0.471683538,0.267610871,-0.399237811,-0.463574628,-0.163842443,0.558644792,0.275904078,0.127742147,1,0.03076399,0.736709385,0.127742147,0.757115137,0.530740512,0.19671222,-0.218885254,-0.218652427,0.68615276,-0.190835177,0.371351997,-0.454557787,-0.347643517,-0.572665537,-0.413521203,-0.497384142,-0.139560054,0.031669534,-0.311337377
richness_comb,-0.457836524,0.049921955,-0.042589893,-0.012143911,0.390891601,0.45039636,0.346419053,0.232400059,0.805004243,0.600344742,0.574079525,0.03076399,1,0.186459019,0.574079525,0.457836524,0.440014819,-0.424917303,0.040152312,0.036203333,-0.102073982,-0.072367813,0.198009747,0.530905702,0.152797029,0.374608247,0.498161346,0.220033695,0.179288659,-0.408904811,0.17859533
shannonD_comb,-0.6122831,0.57321612,0.746273071,0.695205552,0.431175781,-0.227085252,-0.331628128,-0.184708869,0.613995431,0.681415515,0.486296027,0.736709385,0.186459019,1,0.486296027,0.6122831,0.096979817,0.082209355,-0.003594271,-0.000592883,0.640557987,-0.113416012,0.415141991,-0.269237443,-0.307720386,-0.369874709,-0.175406941,-0.308717433,0.164275846,-0.115196528,-0.133785888
evenness_comb,-0.343281135,0.002329243,0.348677006,0.340286442,0.185110154,0.202705452,0.166959366,0.041566774,0.56002343,0.942815292,1,0.127742147,0.574079525,0.486296027,1,0.343281135,-0.011921638,-0.072926335,0.056593891,0.115210516,0.121847152,0.005863613,0.170905502,0.304395482,0.237172858,0.505723568,0.24334291,0.145910292,0.550467829,-0.207551795,0.053947537
totalcover,-1,0.724937582,0.465315144,0.40076148,0.337362685,0.194910892,-0.022703016,-0.185188298,0.752081857,0.466927765,0.343281135,0.757115137,0.457836524,0.6122831,0.343281135,1,0.53923143,0.155155857,-0.242709148,-0.226173419,0.617866057,-0.134706157,0.554642205,-0.015727607,-0.255223137,-0.208553621,0.182205612,-0.390175417,-0.095881947,-0.116967793,-0.156279379
avg_shoot_density,-0.53923143,0.68444865,-0.273379045,0.037895247,0.03891312,0.534105421,NA,0.411799675,0.615397178,0.099393896,-0.011921638,0.530740512,0.440014819,0.096979817,-0.011921638,0.53923143,1,-0.041542737,-0.178649189,-0.177221629,0.167138632,-0.590036285,-0.242868181,0.066393651,0.276893046,0.085390937,0.3763684,-0.206374722,0.186217748,0.063501873,-0.030877824
avg_blade_length,-0.155155857,0.222911768,0.026640575,-0.01010682,-0.015613616,-0.02382623,-0.320211753,-0.345564459,-0.123167426,-0.061950333,-0.072926335,0.19671222,-0.424917303,0.082209355,-0.072926335,0.155155857,-0.041542737,1,0.007043007,0.025059434,0.091735249,-0.211268058,-0.101049507,-0.289514896,0.404910541,0.346759465,0.285158927,-0.007889596,0.298163705,-0.140203503,0.371840017
max_10,0.242709148,-0.340642888,0.04385672,0.221815037,-0.285630934,-0.626467528,0.113559379,0.134851563,-0.01791274,0.051180621,0.056593891,-0.218885254,0.040152312,-0.003594271,0.056593891,-0.242709148,-0.178649189,0.007043007,1,0.985386227,0.050568578,0.192545298,0.177143474,0.067669906,0.273572191,0.141129944,-0.463546128,-0.026708775,0.111995998,0.016639133,0.295648043
max_25perc,0.226173419,-0.358113926,0.074382534,0.245340449,-0.291846687,-0.606230357,0.206106255,0.224142945,-0.043026119,0.097664889,0.115210516,-0.218652427,0.036203333,-0.000592883,0.115210516,-0.226173419,-0.177221629,0.025059434,0.985386227,1,0.058109376,0.274657847,0.239460119,0.172008041,0.283539701,0.222517948,-0.457184059,0.036222719,0.09078782,-0.005043931,0.351834614
seagrass_area,-0.617866057,0.579071345,0.535394412,0.612715422,0.034482073,-0.08426574,-0.324619799,-0.096287003,0.37209655,0.278831967,0.121847152,0.68615276,-0.102073982,0.640557987,0.121847152,0.617866057,0.167138632,0.091735249,0.050568578,0.058109376,1,-0.076044288,0.687317355,-0.220509162,-0.301196436,-0.403717028,-0.125129278,-0.443024599,0.042514271,-0.020884014,-0.06680586
seagrass_perim.area.ratio,0.134706157,-0.220471052,0.011409443,-0.066491497,0.017619512,0.196063745,-0.065572677,0.186720949,-0.160360862,-0.062053173,0.005863613,-0.190835177,-0.072367813,-0.113416012,0.005863613,-0.134706157,-0.590036285,-0.211268058,0.192545298,0.274657847,-0.076044288,1,0.393745971,0.236626153,-0.080068044,0.044205533,0.114305698,0.417707264,-0.149182755,-0.353689691,0.493842093
seagrass_shape.index,-0.554642205,0.27721045,0.449282828,0.322314403,0.191932904,0.344301106,-0.20801815,0.132407398,0.415086688,0.264406447,0.170905502,0.371351997,0.198009747,0.415141991,0.170905502,0.554642205,-0.242868181,-0.101049507,0.177143474,0.239460119,0.687317355,0.393745971,1,0.180548723,-0.315544506,-0.233294566,0.228039893,-0.002825896,-0.15897149,-0.223576692,0.225220757
saltmarsh_area,0.015727607,-0.46663597,-0.280311611,-0.085228453,0.056708811,0.608868011,0.385440966,0.590409966,0.159342278,0.285789869,0.304395482,-0.454557787,0.530905702,-0.269237443,0.304395482,-0.015727607,0.066393651,-0.289514896,0.067669906,0.172008041,-0.220509162,0.236626153,0.180548723,1,-0.043715205,0.44411638,0.622845507,0.424253835,-0.080203068,-0.162096986,0.268794875
saltmarsh_perim.area.ratio,0.255223137,-0.292499626,-0.332493447,-0.242990383,-0.137502344,0.089847182,0.256657347,-0.136554846,-0.043356239,0.057281799,0.237172858,-0.347643517,0.152797029,-0.307720386,0.237172858,-0.255223137,0.276893046,0.404910541,0.273572191,0.283539701,-0.301196436,-0.080068044,-0.315544506,-0.043715205,1,0.7581335,0.150585549,0.454719158,0.662191076,-0.41622079,0.506166029
saltmarsh_shape.index,0.208553621,-0.560536476,-0.358603449,-0.235336391,-0.05135517,0.493771839,0.431267309,-0.019976768,-0.022238041,0.293826562,0.505723568,-0.572665537,0.374608247,-0.369874709,0.505723568,-0.208553621,0.085390937,0.346759465,0.141129944,0.222517948,-0.403717028,0.044205533,-0.233294566,0.44411638,0.7581335,1,0.558848419,0.435063682,0.625753769,-0.317282749,0.365862514
oyster_area,-0.182205612,-0.403002433,-0.2666588,-0.169540933,0.213475193,0.950224481,0.261896456,-0.1429438,0.162816658,0.236959211,0.24334291,-0.413521203,0.498161346,-0.175406941,0.24334291,0.182205612,0.3763684,0.285158927,-0.463546128,-0.457184059,-0.125129278,0.114305698,0.228039893,0.622845507,0.150585549,0.558848419,1,0.207777636,0.129975621,-0.223897585,0.234571855
oyster_perim.area.ratio,0.390175417,-0.476678267,-0.165090389,-0.426059727,0.077123116,0.177072037,0.198124701,0.327710812,-0.061670269,0.024732156,0.145910292,-0.497384142,0.220033695,-0.308717433,0.145910292,-0.390175417,-0.206374722,-0.007889596,-0.026708775,0.036222719,-0.443024599,0.417707264,-0.002825896,0.424253835,0.454719158,0.435063682,0.207777636,1,0.131851499,-0.544469812,0.730416711
nn_Land,0.095881947,-0.18540435,-0.043085936,0.130465125,-0.186890075,0.036913825,0.135470793,-0.131474362,0.120827895,0.460707342,0.550467829,-0.139560054,0.179288659,0.164275846,0.550467829,-0.095881947,0.186217748,0.298163705,0.111995998,0.09078782,0.042514271,-0.149182755,-0.15897149,-0.080203068,0.662191076,0.625753769,0.129975621,0.131851499,1,-0.38215483,0.29440319
dist2adj,0.116967793,0.033308996,0.043240526,-0.025793925,-0.238133883,-0.144276493,-0.142362423,-0.026934584,-0.365717788,-0.21274604,-0.207551795,0.031669534,-0.408904811,-0.115196528,-0.207551795,-0.116967793,0.063501873,-0.140203503,0.016639133,-0.005043931,-0.020884014,-0.353689691,-0.223576692,-0.162096986,-0.41622079,-0.317282749,-0.223897585,-0.544469812,-0.38215483,1,-0.80600867
richness_land,0.156279379,-0.309597371,-0.208392056,-0.088337356,0.002553923,0.193815021,0.228701064,0.15061384,0.044915188,0.014434919,0.053947537,-0.311337377,0.17859533,-0.133785888,0.053947537,-0.156279379,-0.030877824,0.371840017,0.295648043,0.351834614,-0.06680586,0.493842093,0.225220757,0.268794875,0.506166029,0.365862514,0.234571855,0.730416711,0.29440319,-0.80600867,1
