"","Project.Site.Name","habitat","depth_m_avg","temp_avg","sal_avg","num_ach_spi","num_anc_spp","num_aplysiidae","num_arc_pro","num_bai_chr","num_cal_sap","num_car_bar","num_cen_str","num_chi_sch","num_das_ame","num_dip_hol","num_gerreidae","num_hyp_hen","num_lag_rho","num_lei_xan","num_lip_spp","num_lut_chr","num_lut_gri","num_lut_syn","num_mon_his","num_myc_mic","num_opi_ogl","num_ops_tau","num_ort_chr","num_pal_spp","num_par_alb","num_pen_azt","num_pen_spp","num_pom_sal","num_por_spp","num_shrimp","num_sph_mac","num_sph_spp","num_syg_spp","num_syo_foe","num_toz_car"
"1","C2","creek",1.5,29.6,35,0,0,0,0,0,0,0,0,0,0,0.673400673400673,0,0,5.38720538720539,0,0,0,0,0,0.673400673400673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","C3","creek",1,30.5,34,0,0,0,0,0,0,0,0,0.803212851405622,0,0,53.0120481927711,0,5.62248995983936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803212851405622,0,0,0,0,0,0,0,0.803212851405622
"3","C4","creek",1.5,29.8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","C5","creek",0.5,NA,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","C6","creek",NA,29.4,34,0,0,0,0,0,0,0,0,0,0,2.58064516129032,2.58064516129032,0,11.6129032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","C7","creek",1,25.85,35,0,0,0,0,1.41342756183746,0,0,0,0,0,0,0,0,1.41342756183746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","C8","creek",0.8,28.9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20855614973262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","CB","creek",0.65,27.75,36,0,1.56862745098039,0,0,0,0,0,0,0,0,0,3.92156862745098,0,7.05882352941177,2.35294117647059,0,0,0,0,0,0,0,0,0,0,0,6.27450980392157,0,0,0,0,0,0,0,0,0
"9","MF1","mudflat",1.125,28.6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","MF2","mudflat",0.5,25.4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","MF7","mudflat",0.6,27.3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711743772241993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","MFA","mudflat",0.9,28.8,35,0,5.3030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","S14","seagrass",0.5,NA,33,1.9047619047619,2.85714285714286,0,0,12.3809523809524,2.85714285714286,0,0,0,0,0,0.952380952380952,0.952380952380952,180.952380952381,1.9047619047619,1.9047619047619,0.952380952380952,0.952380952380952,0.952380952380952,15.2380952380952,0,0,0,37.1428571428571,0,1.9047619047619,0,0,0,0,0,0,0,0,0,0
"14","S15","seagrass",1.5,NA,NA,0,0,0,0.763358778625954,3.81679389312977,9.16030534351145,0,0,0.763358778625954,0,0,4.58015267175572,0,279.389312977099,3.05343511450382,0,0,0,2.29007633587786,15.2671755725191,1.52671755725191,0,0,77.0992366412214,0,2.29007633587786,0,0,0.763358778625954,0.763358778625954,0,0,0,0,0,0
"15","SB","seagrass",0.65,27.75,36,0,0,0,3.92156862745098,24.3137254901961,0,0,0,0.784313725490196,0,0,1.56862745098039,0,268.235294117647,3.13725490196078,0,0,0,0,2.35294117647059,0,0,0,129.411764705882,0,3.13725490196078,0,0,0,0,0,0,0,3.13725490196078,0,0
"16","SC","creek",0.65,28.2,36,0,0,0,0,33.3333333333333,4.25531914893617,0,0,0,0,0,2.12765957446809,0,392.90780141844,0,0,0,0,0,7.09219858156028,0,0,0,118.439716312057,3.54609929078014,4.25531914893617,0,0,0,0,0,0.709219858156028,0,1.41843971631206,0,0
"17","SG1","seagrass",1,30.4,34,0,0,0,0,0.826446280991736,0,0,0.826446280991736,1.65289256198347,0,0,22.3140495867769,0,65.2892561983471,0,0,0,0,0,3.30578512396694,0,0,0,2.47933884297521,0,4.13223140495868,0,0,0,0,0,0,0,0.826446280991736,0,0
"18","SG10","seagrass",0.5,25.4,36,0,5.15021459227468,0,0,0,0,0,0,0,0,0,0,0,91.8454935622318,1.71673819742489,0,0,0,0,0.858369098712446,0,0,0,3.43347639484979,0,0.858369098712446,0,0,0,0,0,0,0,0,0,0
"19","SG12","seagrass",0.4,24.75,36,0,0.884955752212389,0,0,2.65486725663717,2.65486725663717,0,0,0,0,2.65486725663717,0,0,240.70796460177,0,0,0,0,0,0,0,0,0,6.19469026548673,0,0.884955752212389,0,0,0,0,0,0,0.884955752212389,0,0,0
"20","SG17","seagrass",1,29.4,32,0,0,0,1.80995475113122,0,6.33484162895928,0,0,0,0,0.904977375565611,4.52488687782805,0,123.981900452489,3.61990950226244,0,0.904977375565611,0.904977375565611,0.904977375565611,17.1945701357466,0,0,0,10.8597285067873,0,0.904977375565611,0.904977375565611,0,0,0,0,0,0,0,0,0
"21","SG2","seagrass",0.875,29.4,35,0,0.75187969924812,0,0,5.26315789473684,5.26315789473684,0,0,0,0.75187969924812,12.781954887218,0,0,699.248120300752,4.51127819548872,0,0,0,0,6.76691729323308,0,0,0,33.0827067669173,0,3.7593984962406,0,0,0,0,0,0,1.50375939849624,0,0,0
"22","SG4","seagrass",1,28.9,35,0,0.554016620498615,0.554016620498615,0,0,0.554016620498615,0.554016620498615,0,0,0,24.9307479224377,0,0.554016620498615,679.778393351801,6.64819944598338,0,0,0,0,5.54016620498615,0,0,1.10803324099723,54.8476454293629,0,0.554016620498615,0,0,0,0,0,1.10803324099723,5.54016620498615,0,0,0
"23","SG6","seagrass",0.8,26.8,37,0,6.43086816720257,0,0,2.57234726688103,14.7909967845659,0,0,0,0,0,3.85852090032154,0.643086816720257,365.916398713826,68.1672025723473,1.28617363344051,0,0,0,3.85852090032154,0,0.643086816720257,0,55.3054662379421,0,0,1.92926045016077,0,0,0,0,0.643086816720257,0,0.643086816720257,0.643086816720257,0
"24","SG9","seagrass",0.8,26.9,36,0,49.8168498168498,0,1.46520146520147,33.6996336996337,19.047619047619,0,0,0,0,2.1978021978022,0,0,663.736263736264,3.66300366300366,0,0,0,0,2.1978021978022,0,0,0,83.5164835164835,4.3956043956044,1.46520146520147,1.46520146520147,0,0.732600732600733,0,0.732600732600733,0,0,0,0,0
